shop_id,ds,context0,context1,context2,context3,context4,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,pv,gmv
434,20220122,1.85240782,0.908313179,1,4.838651237,18721508,19544.592636351100,0,320977.51880604400,38036.73601767700,125971.48200479700,287915.120913869,162043.3456793630,0,511.6810656,967380.5766359070,20989.63686079410,2052773,5042830.480000000
434,20221205,1.801580084,0.842981641,1,4.838651237,18721508,22155.7128574278,7073.9176711282700,21034.869575173800,12154.180550709500,9359.509411091200,16501.124518543500,2011.0069421751000,0,113.3996154,48776.70009012540,0,1815934,3856010.0300000000
434,20221201,1.801580084,0.842981641,1,4.838651237,18721508,18070.960252068400,7685.6045955024100,30043.9049427277,13832.686703405700,7636.988018581200,21829.062134687100,2631.573636058800,0,3426.481626374720,65059.566626825300,673.8998318210170,1568022,1946274.099999990
434,20221204,1.801580084,0.842981641,1,4.838651237,18721508,14482.793908634800,4159.1394373208,35945.97232618010,9804.594096613400,12247.626531460100,28523.552721861700,1849.2704739397500,0,117.2674005,75865.32426168260,0,1624182,2044441.5300000000
434,20221206,1.801580084,0.842981641,1,4.838651237,18721508,25083.971058438400,6629.654525051680,22197.271753269300,11113.726362333200,10785.853250471900,17056.74920470950,1778.9214026987600,0,109.576024935937,50521.17649791150,0,1846056,2818218.1700000000
434,20221202,1.801580084,0.842981641,1,4.838651237,18721508,21382.923739585900,7950.25499292854,35752.668880181800,16226.017451924800,10425.844532646400,27362.01135722860,2643.126558578170,0,2793.1951328324200,75728.28930547840,501.7857477930980,1469319,1734500.9700000000
68,20220417,1.84598991,0.905724362,2,4.75317255,7167799,0,0,184431.8293509310,0,69754.55251349200,365569.32875398500,14085.893604447700,0,0,146291.0544664630,0,781513,1104952.7699999900
68,20220410,1.84598991,0.905724362,2,4.75317255,7167799,0,0,173169.5823569550,0,60241.21021208950,371708.5524095610,9019.464186996720,0,0,170213.08051025500,0,910953,1395002.4999999700
68,20220401,1.84598991,0.905724362,2,4.75317255,7167799,0,0,151271.90266764400,0,38759.26548505600,271955.4635897580,1703.432510648490,0,0,107095.45640929300,0,585650,882950.0499999940
68,20220428,1.84598991,0.905724362,2,4.75317255,7167799,0,0,176500.93609050300,0,48872.37744441940,244724.4503292940,21497.03188022060,0,0,120882.86137049000,0,634133,826692.6599999980
